,Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
375,376,30,1.0,0.0,10020,1.0,1.0,2.0,3.0,1.0,1.0,3.0,16.0,1.0,1.0,1.0,2.0,1,1,1922,1950,1.0,1.0,3.0,6.0,2.0,0.0,4.0,3.0,3.0,5.0,5.0,2.0,5.0,350,1.0,0,333,683,1.0,2.0,2.0,3.0,904,0,0,904,1,0,0,1,1,1,4.0,4,3.0,0,1.0,5.0,0.0,4.0,0,0,4.0,3.0,1.0,0,0,0,0,0,0,1.0,1.0,1.0,0,3,2009,1.0,1.0,61000
376,377,85,1.0,57.0,8846,1.0,1.0,2.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,5.0,5,5,1996,1996,1.0,1.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,298,1.0,0,572,870,1.0,1.0,1.0,1.0,914,0,0,914,0,0,1,0,2,1,2.0,5,1.0,0,1.0,2.0,1998.0,2.0,2,576,1.0,1.0,1.0,0,0,0,0,0,0,1.0,1.0,1.0,0,7,2006,1.0,1.0,148000
377,378,60,4.0,102.0,11143,1.0,1.0,2.0,1.0,1.0,3.0,1.0,6.0,1.0,1.0,1.0,1.0,8,5,2004,2005,1.0,1.0,7.0,7.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,0,1.0,0,1580,1580,1.0,1.0,1.0,1.0,1580,886,0,2466,0,0,3,0,4,1,1.0,8,1.0,1,3.0,1.0,2004.0,1.0,2,610,1.0,1.0,1.0,159,214,0,0,0,0,1.0,1.0,1.0,0,12,2007,1.0,1.0,340000
378,379,20,1.0,88.0,11394,1.0,1.0,1.0,1.0,1.0,3.0,1.0,19.0,1.0,1.0,1.0,2.0,9,2,2010,2010,2.0,1.0,1.0,1.0,3.0,350.0,1.0,1.0,1.0,3.0,1.0,4.0,1.0,1445,1.0,0,411,1856,1.0,1.0,1.0,1.0,1856,0,0,1856,1,0,1,1,1,1,3.0,8,1.0,1,5.0,1.0,2010.0,3.0,3,834,1.0,1.0,1.0,113,0,0,0,0,0,1.0,1.0,1.0,0,6,2010,2.0,3.0,394432
379,380,60,1.0,60.0,8123,1.0,1.0,2.0,1.0,1.0,1.0,1.0,18.0,7.0,1.0,1.0,1.0,6,5,2000,2000,1.0,1.0,1.0,1.0,1.0,16.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,0,1.0,0,982,982,1.0,1.0,1.0,1.0,1007,793,0,1800,0,0,2,1,3,1,2.0,7,1.0,1,2.0,1.0,2000.0,3.0,2,463,1.0,1.0,1.0,100,63,0,0,0,0,1.0,1.0,1.0,0,6,2009,1.0,1.0,179000
380,381,50,1.0,50.0,5000,1.0,3.0,1.0,1.0,1.0,1.0,1.0,24.0,1.0,1.0,1.0,3.0,5,6,1924,1950,1.0,1.0,5.0,6.0,2.0,0.0,2.0,1.0,3.0,2.0,1.0,1.0,7.0,218,1.0,0,808,1026,1.0,3.0,1.0,1.0,1026,665,0,1691,0,0,2,0,3,1,1.0,6,1.0,1,3.0,2.0,1924.0,2.0,1,308,1.0,1.0,1.0,0,0,242,0,0,0,1.0,1.0,1.0,0,5,2010,1.0,1.0,127000
381,382,20,4.0,60.0,7200,1.0,3.0,1.0,1.0,1.0,1.0,1.0,6.0,1.0,1.0,1.0,2.0,7,5,2006,2006,1.0,1.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,0,1.0,0,1293,1293,1.0,1.0,1.0,1.0,1301,0,0,1301,1,0,2,0,2,1,1.0,5,1.0,1,3.0,1.0,2006.0,1.0,2,572,1.0,1.0,1.0,216,121,0,0,0,0,1.0,1.0,1.0,0,8,2006,2.0,3.0,187750
382,383,60,1.0,79.0,9245,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7,5,2006,2006,1.0,1.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,4.0,3.0,0,1.0,0,939,939,1.0,1.0,1.0,1.0,939,858,0,1797,0,0,2,1,3,1,1.0,8,1.0,0,1.0,1.0,2006.0,1.0,2,639,1.0,1.0,1.0,144,53,0,0,0,0,1.0,1.0,1.0,0,4,2007,1.0,1.0,213500
383,384,45,5.0,60.0,9000,1.0,1.0,1.0,1.0,1.0,3.0,1.0,13.0,1.0,1.0,1.0,4.0,6,3,1928,1950,1.0,1.0,3.0,6.0,2.0,0.0,2.0,1.0,3.0,5.0,4.0,1.0,3.0,0,1.0,0,784,784,1.0,3.0,2.0,3.0,784,0,0,784,0,0,1,0,2,1,2.0,5,1.0,0,1.0,2.0,1950.0,2.0,2,360,2.0,2.0,2.0,0,0,91,0,0,0,1.0,1.0,1.0,0,10,2009,1.0,1.0,76000
384,385,60,1.0,0.0,53107,1.0,1.0,3.0,3.0,1.0,3.0,2.0,20.0,2.0,1.0,1.0,1.0,6,5,1992,1992,1.0,1.0,4.0,4.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,985,1.0,0,595,1580,1.0,1.0,1.0,1.0,1079,874,0,1953,1,0,2,1,3,1,1.0,9,1.0,2,4.0,1.0,1992.0,3.0,2,501,1.0,1.0,1.0,216,231,0,0,0,0,1.0,1.0,1.0,0,6,2007,1.0,1.0,240000
385,386,120,1.0,43.0,3182,1.0,1.0,1.0,1.0,1.0,1.0,1.0,22.0,1.0,1.0,4.0,2.0,8,5,2004,2005,1.0,1.0,1.0,1.0,1.0,16.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,1.0,0,1232,1256,1.0,1.0,1.0,1.0,1269,0,0,1269,0,0,2,0,2,1,1.0,6,1.0,1,2.0,1.0,2004.0,3.0,2,430,1.0,1.0,1.0,146,20,0,0,144,0,1.0,1.0,1.0,0,4,2010,1.0,1.0,192000
386,387,50,1.0,58.0,8410,1.0,1.0,1.0,1.0,1.0,2.0,1.0,16.0,2.0,1.0,1.0,3.0,5,3,1910,1996,3.0,1.0,3.0,1.0,2.0,0.0,2.0,3.0,1.0,2.0,1.0,1.0,3.0,0,1.0,0,658,658,1.0,3.0,1.0,1.0,658,526,0,1184,0,0,1,0,5,1,2.0,8,1.0,0,1.0,5.0,0.0,4.0,0,0,4.0,3.0,2.0,0,151,0,0,0,0,1.0,1.0,1.0,0,5,2006,1.0,4.0,81000
387,388,80,1.0,72.0,7200,1.0,1.0,1.0,1.0,1.0,1.0,1.0,16.0,1.0,1.0,1.0,6.0,6,6,1976,1976,2.0,1.0,2.0,2.0,1.0,255.0,2.0,1.0,2.0,2.0,1.0,4.0,2.0,631,1.0,0,410,1041,1.0,1.0,1.0,1.0,1125,0,0,1125,1,0,1,0,3,1,2.0,6,1.0,1,4.0,2.0,1977.0,2.0,1,352,1.0,1.0,1.0,296,0,0,0,0,0,1.0,3.0,1.0,0,10,2009,1.0,2.0,125000
388,389,20,1.0,93.0,9382,1.0,1.0,2.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,7,5,1999,2000,1.0,1.0,1.0,1.0,1.0,125.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,0,1.0,0,1468,1468,1.0,1.0,1.0,1.0,1479,0,0,1479,0,0,2,0,3,1,1.0,6,1.0,0,1.0,1.0,1999.0,1.0,2,577,1.0,1.0,1.0,120,25,0,0,0,0,1.0,1.0,1.0,0,7,2008,1.0,1.0,191000
389,390,60,1.0,96.0,12474,1.0,1.0,1.0,1.0,1.0,1.0,1.0,11.0,1.0,1.0,1.0,1.0,10,5,2007,2008,1.0,1.0,1.0,1.0,3.0,272.0,3.0,1.0,1.0,3.0,1.0,4.0,1.0,1280,1.0,0,402,1682,1.0,1.0,1.0,1.0,1742,590,0,2332,1,0,2,1,3,1,3.0,9,1.0,1,5.0,3.0,2008.0,3.0,3,846,1.0,1.0,1.0,196,134,0,0,0,0,1.0,1.0,1.0,0,8,2008,2.0,3.0,426000
390,391,50,1.0,50.0,8405,1.0,2.0,1.0,1.0,1.0,1.0,1.0,16.0,1.0,1.0,1.0,3.0,5,8,1900,1950,1.0,1.0,2.0,2.0,2.0,0.0,2.0,1.0,3.0,2.0,2.0,1.0,4.0,241,2.0,391,229,861,1.0,1.0,1.0,1.0,961,406,0,1367,1,0,1,0,4,1,2.0,7,1.0,0,1.0,2.0,1978.0,2.0,1,384,1.0,1.0,1.0,0,130,112,0,0,0,1.0,2.0,1.0,0,4,2008,1.0,1.0,119000
391,392,60,1.0,71.0,12209,1.0,1.0,2.0,1.0,1.0,4.0,1.0,5.0,1.0,1.0,1.0,1.0,6,5,2001,2002,1.0,1.0,1.0,1.0,2.0,0.0,2.0,1.0,1.0,3.0,1.0,1.0,2.0,690,1.0,0,114,804,1.0,1.0,1.0,1.0,804,1157,0,1961,1,0,2,1,3,1,1.0,7,1.0,1,2.0,3.0,2001.0,3.0,2,560,1.0,1.0,1.0,125,192,0,0,0,0,1.0,1.0,1.0,0,6,2009,1.0,1.0,215000
392,393,20,1.0,0.0,8339,1.0,1.0,2.0,1.0,1.0,1.0,1.0,12.0,1.0,1.0,1.0,2.0,5,7,1959,1959,1.0,1.0,2.0,2.0,2.0,0.0,2.0,1.0,5.0,4.0,3.0,5.0,6.0,0,3.0,0,0,0,1.0,3.0,1.0,1.0,882,0,0,882,0,0,1,0,3,1,2.0,5,1.0,0,1.0,1.0,1959.0,1.0,1,294,1.0,1.0,1.0,0,0,0,0,0,0,1.0,2.0,2.0,1200,7,2007,1.0,1.0,106500
393,394,30,1.0,0.0,7446,1.0,1.0,1.0,1.0,1.0,3.0,1.0,9.0,2.0,1.0,1.0,2.0,4,5,1941,1950,1.0,1.0,6.0,3.0,2.0,0.0,2.0,1.0,2.0,2.0,1.0,1.0,4.0,266,1.0,0,522,788,1.0,3.0,1.0,3.0,788,0,0,788,0,0,1,0,2,1,2.0,4,1.0,2,2.0,5.0,0.0,4.0,0,0,4.0,3.0,1.0,0,0,0,0,0,0,1.0,3.0,1.0,0,4,2006,1.0,2.0,100000
394,395,50,1.0,60.0,10134,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0,1.0,1.0,1.0,3.0,5,6,1940,1950,1.0,1.0,2.0,2.0,2.0,0.0,2.0,1.0,2.0,2.0,1.0,1.0,3.0,0,1.0,0,735,735,1.0,2.0,1.0,3.0,735,299,0,1034,0,0,1,0,2,1,2.0,5,1.0,0,1.0,2.0,1940.0,2.0,1,240,1.0,1.0,1.0,0,39,0,0,0,0,1.0,1.0,1.0,0,7,2007,1.0,1.0,109000
395,396,20,1.0,68.0,9571,1.0,1.0,1.0,1.0,1.0,1.0,1.0,16.0,1.0,1.0,1.0,2.0,5,6,1956,1956,1.0,1.0,3.0,6.0,2.0,0.0,2.0,1.0,2.0,2.0,1.0,4.0,5.0,739,1.0,0,405,1144,1.0,3.0,1.0,1.0,1144,0,0,1144,1,0,1,0,3,1,2.0,6,1.0,0,1.0,1.0,1956.0,2.0,1,596,1.0,1.0,1.0,44,0,0,0,0,0,1.0,1.0,1.0,0,6,2010,1.0,1.0,129000
396,397,20,1.0,60.0,7200,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,5,5,1972,1972,2.0,1.0,2.0,2.0,2.0,0.0,2.0,1.0,2.0,2.0,1.0,4.0,4.0,777,1.0,0,117,894,1.0,3.0,1.0,1.0,894,0,0,894,0,0,1,0,2,1,2.0,6,1.0,0,1.0,2.0,1985.0,1.0,2,600,1.0,1.0,1.0,215,0,0,0,0,0,1.0,1.0,1.0,0,9,2009,1.0,1.0,123000
397,398,60,1.0,69.0,7590,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12.0,3.0,1.0,1.0,1.0,5,5,1962,1962,1.0,1.0,1.0,1.0,1.0,288.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,540,1.0,0,324,864,1.0,3.0,1.0,1.0,876,936,0,1812,0,0,2,0,4,1,2.0,8,1.0,1,2.0,1.0,1962.0,1.0,1,264,1.0,1.0,1.0,0,168,0,0,0,0,1.0,1.0,1.0,0,7,2007,1.0,1.0,169500
398,399,30,2.0,60.0,8967,1.0,1.0,1.0,1.0,1.0,3.0,1.0,14.0,1.0,1.0,1.0,2.0,5,2,1920,1950,1.0,1.0,2.0,2.0,2.0,0.0,2.0,3.0,3.0,5.0,5.0,1.0,3.0,0,1.0,0,961,961,1.0,2.0,1.0,5.0,1077,0,0,1077,0,0,1,0,2,1,2.0,6,6.0,0,1.0,2.0,1920.0,2.0,1,338,6.0,5.0,2.0,0,0,0,0,0,0,1.0,1.0,1.0,0,11,2007,1.0,2.0,67000
399,400,60,4.0,65.0,8125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,1.0,1.0,1.0,1.0,7,5,2006,2007,1.0,1.0,7.0,7.0,3.0,100.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,812,1.0,0,280,1092,1.0,1.0,1.0,1.0,1112,438,0,1550,1,0,2,0,2,1,1.0,7,1.0,0,1.0,1.0,2007.0,3.0,2,438,1.0,1.0,1.0,0,168,0,0,0,0,1.0,1.0,1.0,0,10,2009,1.0,1.0,241000
400,401,120,1.0,38.0,14963,1.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,4.0,2.0,8,5,1996,1996,1.0,1.0,5.0,8.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,786,1.0,0,474,1260,1.0,1.0,1.0,1.0,1288,0,0,1288,1,0,1,1,1,1,3.0,4,1.0,2,3.0,1.0,1996.0,3.0,2,500,1.0,1.0,1.0,120,30,0,0,224,0,1.0,1.0,1.0,0,12,2008,1.0,1.0,245500
401,402,20,1.0,65.0,8767,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,7,5,2005,2005,1.0,1.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,24,1.0,0,1286,1310,1.0,1.0,1.0,1.0,1310,0,0,1310,0,0,2,0,3,1,1.0,6,1.0,1,3.0,1.0,2005.0,3.0,2,400,1.0,1.0,1.0,0,0,0,0,0,0,1.0,1.0,1.0,0,7,2006,2.0,3.0,164990
402,403,30,1.0,60.0,10200,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,2.0,5,8,1940,1997,1.0,1.0,3.0,6.0,2.0,0.0,2.0,1.0,1.0,2.0,1.0,1.0,3.0,0,1.0,0,672,672,1.0,1.0,1.0,1.0,672,0,0,672,0,0,1,0,2,1,2.0,4,1.0,0,1.0,2.0,1940.0,2.0,1,240,1.0,1.0,2.0,168,0,0,0,0,0,1.0,4.0,1.0,0,8,2008,1.0,1.0,108000
403,404,60,1.0,93.0,12090,1.0,1.0,1.0,1.0,1.0,3.0,1.0,4.0,1.0,1.0,1.0,1.0,8,5,1998,1998,2.0,1.0,1.0,1.0,1.0,650.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,0,1.0,0,1141,1141,1.0,2.0,1.0,1.0,1165,1098,0,2263,0,0,2,1,4,1,1.0,10,1.0,1,2.0,3.0,1998.0,3.0,2,420,1.0,1.0,1.0,144,123,0,0,0,0,1.0,1.0,1.0,0,7,2006,1.0,2.0,258000
404,405,60,1.0,0.0,10364,1.0,1.0,2.0,1.0,1.0,1.0,1.0,18.0,1.0,1.0,1.0,1.0,6,5,1995,1996,1.0,1.0,2.0,2.0,2.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,0,1.0,0,806,806,1.0,2.0,1.0,1.0,806,766,0,1572,0,0,2,1,3,1,2.0,7,1.0,1,2.0,3.0,1995.0,3.0,2,373,1.0,1.0,1.0,0,40,0,0,0,0,1.0,1.0,1.0,0,5,2007,1.0,1.0,168000
405,406,20,1.0,0.0,9991,1.0,1.0,2.0,1.0,1.0,3.0,1.0,10.0,2.0,1.0,1.0,2.0,4,4,1976,1993,1.0,1.0,8.0,5.0,2.0,0.0,2.0,1.0,2.0,2.0,1.0,1.0,5.0,1116,1.0,0,165,1281,1.0,1.0,1.0,1.0,1620,0,0,1620,1,0,2,0,3,1,2.0,8,2.0,1,2.0,1.0,1993.0,2.0,2,490,1.0,1.0,1.0,120,78,0,0,0,0,1.0,3.0,1.0,0,6,2009,1.0,1.0,150000
406,407,50,1.0,51.0,10480,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24.0,1.0,1.0,1.0,3.0,6,5,1936,1950,1.0,1.0,2.0,2.0,2.0,0.0,2.0,1.0,3.0,2.0,1.0,1.0,3.0,0,1.0,0,1064,1064,1.0,1.0,1.0,3.0,1166,0,473,1639,0,0,1,0,3,1,2.0,6,6.0,0,1.0,2.0,1936.0,2.0,1,240,1.0,1.0,1.0,0,0,0,0,0,0,1.0,1.0,1.0,0,3,2008,1.0,1.0,115000
407,408,70,1.0,63.0,15576,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,6,7,1915,1976,1.0,1.0,3.0,5.0,2.0,0.0,2.0,1.0,3.0,1.0,1.0,1.0,3.0,0,1.0,0,840,840,1.0,1.0,1.0,1.0,840,840,0,1680,0,0,2,0,4,1,2.0,8,1.0,0,1.0,1.0,1960.0,2.0,1,308,1.0,1.0,1.0,0,0,160,0,0,0,1.0,1.0,1.0,0,3,2008,1.0,1.0,177000
408,409,60,1.0,109.0,14154,1.0,1.0,1.0,1.0,1.0,3.0,1.0,11.0,1.0,1.0,1.0,1.0,7,5,2006,2006,1.0,1.0,1.0,1.0,1.0,350.0,1.0,1.0,1.0,3.0,2.0,1.0,3.0,0,1.0,0,1063,1063,1.0,1.0,1.0,1.0,1071,1101,0,2172,0,0,2,1,3,1,1.0,9,1.0,1,3.0,1.0,2006.0,1.0,3,947,1.0,1.0,1.0,192,62,0,0,0,0,1.0,1.0,1.0,0,8,2007,2.0,3.0,280000
409,410,60,4.0,85.0,10800,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,1.0,1.0,1.0,1.0,8,5,2007,2008,1.0,1.0,1.0,1.0,3.0,100.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,789,1.0,0,245,1034,1.0,1.0,1.0,1.0,1050,1028,0,2078,1,0,2,1,3,1,3.0,8,1.0,1,3.0,1.0,2008.0,3.0,3,836,1.0,1.0,1.0,0,102,0,0,0,0,1.0,1.0,1.0,0,4,2008,2.0,3.0,339750
410,411,20,1.0,68.0,9571,1.0,1.0,1.0,1.0,1.0,1.0,1.0,16.0,1.0,1.0,1.0,2.0,5,3,1958,1958,1.0,1.0,11.0,11.0,2.0,0.0,2.0,3.0,2.0,2.0,4.0,1.0,3.0,0,1.0,0,1276,1276,1.0,3.0,1.0,3.0,1276,0,0,1276,0,0,1,0,3,1,2.0,5,5.0,0,1.0,1.0,1958.0,2.0,1,350,1.0,1.0,1.0,0,0,0,0,0,0,1.0,1.0,1.0,0,6,2009,3.0,2.0,60000
411,412,190,1.0,100.0,34650,1.0,1.0,1.0,2.0,1.0,1.0,1.0,18.0,1.0,1.0,2.0,2.0,5,5,1955,1955,2.0,1.0,3.0,6.0,2.0,0.0,2.0,1.0,2.0,2.0,1.0,3.0,4.0,1056,1.0,0,0,1056,1.0,3.0,2.0,1.0,1056,0,0,1056,1,0,1,0,3,1,2.0,5,1.0,0,1.0,1.0,1955.0,3.0,2,572,1.0,1.0,1.0,264,0,0,0,0,0,1.0,1.0,1.0,0,1,2006,1.0,1.0,145000
412,413,20,4.0,0.0,4403,1.0,1.0,3.0,1.0,1.0,1.0,1.0,6.0,1.0,1.0,1.0,2.0,7,5,2009,2009,1.0,1.0,2.0,2.0,3.0,432.0,3.0,1.0,1.0,3.0,1.0,4.0,1.0,578,1.0,0,892,1470,1.0,1.0,1.0,1.0,1478,0,0,1478,1,0,2,1,2,1,1.0,7,1.0,1,3.0,1.0,2009.0,3.0,2,484,1.0,1.0,1.0,0,144,0,0,0,0,1.0,1.0,1.0,0,6,2010,2.0,3.0,222000
413,414,30,2.0,56.0,8960,1.0,2.0,1.0,1.0,1.0,1.0,1.0,8.0,4.0,1.0,1.0,2.0,5,6,1927,1950,1.0,1.0,6.0,3.0,2.0,0.0,2.0,1.0,2.0,2.0,1.0,1.0,3.0,0,1.0,0,1008,1008,1.0,2.0,1.0,3.0,1028,0,0,1028,0,0,1,0,2,1,2.0,5,1.0,1,3.0,2.0,1927.0,2.0,2,360,1.0,1.0,1.0,0,0,130,0,0,0,1.0,1.0,1.0,0,3,2010,1.0,1.0,115000
414,415,60,1.0,59.0,11228,1.0,1.0,3.0,1.0,1.0,4.0,1.0,13.0,1.0,1.0,1.0,1.0,7,5,1993,1993,1.0,1.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,50,7.0,531,499,1080,1.0,1.0,1.0,1.0,1080,1017,0,2097,0,1,2,1,3,1,1.0,9,1.0,1,2.0,1.0,1993.0,2.0,3,678,1.0,1.0,1.0,196,187,0,0,0,0,1.0,1.0,1.0,0,12,2008,1.0,1.0,228000
415,416,20,1.0,73.0,8899,1.0,1.0,2.0,1.0,1.0,1.0,1.0,18.0,1.0,1.0,1.0,2.0,7,5,2007,2007,1.0,1.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,24,1.0,0,1316,1340,1.0,1.0,1.0,1.0,1340,0,0,1340,0,0,2,0,3,1,1.0,6,1.0,0,1.0,1.0,2007.0,3.0,2,396,1.0,1.0,1.0,100,30,0,0,0,0,1.0,1.0,1.0,0,8,2007,2.0,3.0,181134
416,417,60,1.0,74.0,7844,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,1.0,6,7,1978,1978,2.0,1.0,4.0,4.0,1.0,203.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,209,1.0,0,463,672,1.0,3.0,1.0,1.0,672,728,0,1400,0,0,1,1,3,1,2.0,6,1.0,1,2.0,1.0,1978.0,3.0,2,440,1.0,1.0,1.0,0,0,0,0,0,0,1.0,1.0,1.0,0,3,2006,1.0,1.0,149500
417,418,70,1.0,86.0,22420,1.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,6,6,1918,1950,2.0,1.0,3.0,9.0,2.0,0.0,2.0,1.0,3.0,1.0,1.0,1.0,5.0,1128,1.0,0,242,1370,2.0,3.0,2.0,3.0,1370,1254,0,2624,1,0,2,1,4,1,2.0,10,1.0,1,3.0,2.0,1918.0,2.0,3,864,1.0,1.0,2.0,0,0,0,0,0,0,1.0,1.0,1.0,0,11,2007,1.0,1.0,239000
418,419,50,1.0,60.0,8160,1.0,1.0,1.0,1.0,1.0,1.0,1.0,16.0,1.0,1.0,1.0,3.0,5,6,1940,1950,1.0,1.0,2.0,2.0,2.0,0.0,2.0,1.0,3.0,2.0,1.0,1.0,2.0,312,1.0,0,444,756,1.0,4.0,2.0,2.0,756,378,0,1134,1,0,1,1,3,1,2.0,7,1.0,0,1.0,2.0,1940.0,2.0,1,240,1.0,1.0,3.0,0,0,0,0,0,0,1.0,1.0,1.0,0,4,2007,1.0,4.0,126000
419,420,20,1.0,65.0,8450,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12.0,1.0,1.0,1.0,2.0,5,6,1968,1968,1.0,1.0,1.0,1.0,2.0,0.0,2.0,1.0,2.0,2.0,1.0,1.0,5.0,775,1.0,0,281,1056,1.0,1.0,1.0,1.0,1056,0,0,1056,1,0,1,0,3,1,2.0,6,1.0,1,4.0,1.0,1968.0,2.0,1,304,1.0,1.0,1.0,0,85,184,0,0,0,1.0,1.0,1.0,0,7,2010,1.0,1.0,142000
420,421,90,2.0,78.0,7060,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,3.0,5.0,7,5,1997,1998,1.0,1.0,1.0,1.0,1.0,200.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1309,1.0,0,35,1344,1.0,1.0,1.0,1.0,1344,0,0,1344,2,0,2,0,2,2,2.0,8,1.0,0,1.0,1.0,1997.0,3.0,4,784,1.0,1.0,1.0,0,0,0,0,0,0,1.0,1.0,1.0,0,11,2008,1.0,5.0,206300
421,422,20,1.0,0.0,16635,1.0,1.0,2.0,1.0,1.0,2.0,1.0,7.0,1.0,1.0,1.0,2.0,6,7,1977,2000,1.0,1.0,7.0,7.0,3.0,126.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1246,1.0,0,356,1602,1.0,2.0,1.0,1.0,1602,0,0,1602,0,1,2,0,3,1,1.0,8,1.0,1,2.0,1.0,1977.0,3.0,2,529,1.0,1.0,1.0,240,0,0,0,0,0,1.0,1.0,1.0,0,6,2009,1.0,1.0,215000
422,423,20,1.0,100.0,21750,1.0,1.0,1.0,4.0,1.0,1.0,2.0,5.0,4.0,1.0,1.0,2.0,5,5,1954,1954,2.0,1.0,4.0,4.0,2.0,0.0,2.0,1.0,2.0,2.0,1.0,1.0,3.0,0,1.0,0,988,988,1.0,1.0,1.0,3.0,988,0,0,988,0,0,1,0,2,1,2.0,4,1.0,0,1.0,1.0,1954.0,1.0,2,520,1.0,1.0,2.0,0,0,0,0,0,0,1.0,1.0,1.0,0,2,2008,1.0,1.0,113000
423,424,60,1.0,80.0,9200,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,8,5,1998,1998,1.0,1.0,1.0,1.0,1.0,473.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,986,1.0,0,484,1470,1.0,2.0,1.0,1.0,1470,1160,0,2630,1,0,2,1,4,1,1.0,8,1.0,1,2.0,1.0,1998.0,3.0,3,696,1.0,1.0,1.0,0,66,0,0,0,0,1.0,1.0,1.0,0,6,2008,1.0,1.0,315000
424,425,20,1.0,72.0,9000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12.0,1.0,1.0,1.0,2.0,6,5,1956,1956,1.0,1.0,3.0,6.0,1.0,74.0,2.0,1.0,2.0,1.0,1.0,1.0,7.0,616,1.0,0,580,1196,1.0,2.0,1.0,3.0,1196,0,0,1196,1,0,1,0,2,1,2.0,6,1.0,1,3.0,1.0,1956.0,1.0,1,297,1.0,1.0,1.0,0,44,0,0,0,0,1.0,1.0,1.0,0,5,2008,1.0,1.0,139000
